[2025-09-03 09:05:38] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:05:45] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:05:48] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:05:55] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:05:58] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:06:06] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:06:08] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:06:15] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:06:18] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:06:25] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:06:28] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:06:36] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:06:38] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:06:46] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:06:48] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:06:56] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:06:58] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:07:06] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:07:08] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:07:16] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
